step_index,flowstar_t_before,compat_t_before,flowstar_h,compat_h,h_delta,t_delta,flowstar_status,compat_status,diverged,divergence_reason,notes
0,0,0,0.012500000000000001,0.012500000000000001,0,0,accepted,accepted,false,,
1,0.012500000000000001,0.012500000000000001,0.013749999999999998,0.013750000000000002,3.4694469519536142e-18,0,accepted,accepted,false,,
2,0.026249999999999999,0.026250000000000002,0.015125000000000003,0.015125000000000003,0,3.4694469519536142e-18,accepted,accepted,false,,
3,0.041375000000000002,0.041375000000000009,0.0166375,0.016637500000000003,3.4694469519536142e-18,6.9388939039072284e-18,accepted,accepted,false,,
4,0.058012500000000002,0.058012500000000009,0.018301249999999998,0.018301250000000005,6.9388939039072284e-18,6.9388939039072284e-18,accepted,accepted,false,,
5,0.07631375,0.076313750000000014,0.020131380000000004,0.020131375000000007,-4.9999999973682208e-09,1.3877787807814457e-17,accepted,accepted,true,t-grid drift,first schedule divergence
6,0.096445130000000004,0.09644512500000002,0.011072269999999995,0.011072256250000004,-1.3749999991027884e-08,-4.999999983490433e-09,accepted,accepted,true,,
7,0.1075174,0.10751738125000003,0.012179499999999996,0.012179481875000005,-1.81249999904598e-08,-1.8749999969314146e-08,accepted,accepted,true,,
8,0.11969689999999999,0.11969686312500004,0.013397400000000004,0.013397430062500007,3.0062500003258386e-08,-3.6874999956304499e-08,accepted,accepted,true,,
9,0.1330943,0.13309429318750005,0.014737200000000006,0.014737173068750008,-2.6931249997447226e-08,-6.8124999530461139e-09,accepted,accepted,true,,
10,0.1478315,0.14783146625625004,0.0162109,0.016210890375625009,-9.6243749914126653e-09,-3.3743749960901681e-08,accepted,accepted,true,,
11,0.1640424,0.16404235663187505,0.017831899999999984,0.01783197941318751,7.9413187525911866e-08,-4.3368124952314346e-08,accepted,accepted,true,,
12,0.18187429999999999,0.18187433604506256,0.0098075999999999997,0.0098075886772531311,-1.132274686857504e-08,3.6045062573597519e-08,accepted,accepted,true,,
13,0.19168189999999999,0.19168192472231568,0.010788400000000004,0.010788347544978445,-5.2455021559011383e-08,2.4722315694614139e-08,accepted,accepted,true,,
14,0.20247029999999999,0.20247027226729414,0.011867199999999994,0.01186718229947629,-1.7700523704741733e-08,-2.7732705853988904e-08,accepted,accepted,true,,
15,0.21433749999999999,0.21433745456677042,0.013053900000000007,0.01305390052942392,5.2942391269572564e-10,-4.5433229567404254e-08,accepted,accepted,true,,
16,0.22739139999999999,0.22739135509619435,0.014359200000000016,0.014359290582366313,9.0582366297012329e-08,-4.4903805646034911e-08,accepted,accepted,true,,
17,0.24175060000000001,0.24175064567856067,0.015795299999999984,0.015795219640602945,-8.035939703943118e-08,4.5678560656181588e-08,accepted,accepted,true,,
18,0.25754589999999999,0.25754586531916362,0.017374700000000021,0.017374741604663242,4.1604663221506133e-08,-3.4680836369371804e-08,accepted,accepted,true,,
19,0.27492060000000001,0.27492060692382686,0.019112199999999968,0.019112215765129569,1.5765129601080785e-08,6.9238268451954355e-09,accepted,accepted,true,,
20,0.29403279999999998,0.29403282268895642,0.010511700000000013,0.010511718670821265,1.8670821251912106e-08,2.268895643586788e-08,accepted,accepted,true,,
21,0.3045445,0.30454454135977771,0.011562899999999987,0.011562890537903391,-9.4620965958303049e-09,4.1359777713800838e-08,accepted,accepted,true,,
22,0.31610739999999998,0.31610743189768109,0.012719200000000042,0.012719179591693731,-2.0408306310518154e-08,3.1897681107562192e-08,accepted,accepted,true,,
23,0.32882660000000002,0.32882661148937481,0.013991099999999979,0.013991097550863106,-2.4491368724732787e-09,1.1489374784900974e-08,accepted,accepted,true,,
24,0.3428177,0.34281770904023789,0.015390200000000021,0.015390207305949418,7.3059493975458079e-09,9.0402378916110138e-09,accepted,accepted,true,,
25,0.35820790000000002,0.35820791634618732,0.016929199999999978,0.016929228036544362,2.8036544384713036e-08,1.6346187292626269e-08,accepted,accepted,true,,
26,0.3751371,0.37513714438273166,0.018622199999999978,0.0186221508401988,-4.9159801177728335e-08,4.4382731656522623e-08,accepted,accepted,true,,
27,0.39375929999999998,0.39375929522293046,0.020484400000000014,0.020484365924218682,-3.4075781332049138e-08,-4.7770695177362654e-09,accepted,accepted,true,,
28,0.41424369999999999,0.41424366114714917,0.022532800000000019,0.022532802516640551,2.5166405313858942e-09,-3.8852850825499274e-08,accepted,accepted,true,,
29,0.43677650000000001,0.43677646366378969,0.012392999999999987,0.012393041384152304,4.1384152316831235e-08,-3.6336210318399509e-08,accepted,accepted,true,,
30,0.4491695,0.44916950504794201,0.013632399999999989,0.013632345522567535,-5.4477432454014263e-08,5.0479420088400673e-09,accepted,accepted,true,,
31,0.46280189999999999,0.46280185057050954,0.014995499999999995,0.014995580074824289,8.0074824293854818e-08,-4.9429490445174196e-08,accepted,accepted,true,,
32,0.47779739999999998,0.47779743064533381,0.016495200000000043,0.01649513808230672,-6.191769332322683e-08,3.0645333826129217e-08,accepted,accepted,true,,
33,0.49429260000000003,0.49429256872764055,0.018144600000000011,0.018144651890537395,5.189053738433036e-08,-3.1272359479750378e-08,accepted,accepted,true,,
34,0.51243720000000004,0.51243722061817798,0.019959100000000007,0.019959117079591138,1.7079591130286786e-08,2.0618177942743898e-08,accepted,accepted,true,,
35,0.53239630000000004,0.53239633769776917,0.021955100000000005,0.021955028787550252,-7.121244975302754e-08,3.7697769128541836e-08,accepted,accepted,true,,
36,0.55435140000000005,0.55435136648531946,0.024150499999999964,0.024150531666305278,3.1666305314037579e-08,-3.3514680586321788e-08,accepted,accepted,true,,
37,0.57850190000000001,0.57850189815162478,0.026565599999999967,0.026565584832935807,-1.5167064160159782e-08,-1.848375230650845e-09,accepted,accepted,true,,
38,0.60506749999999998,0.60506748298456059,0.029222100000000029,0.029222143316229389,4.3316229360323977e-08,-1.7015439390810627e-08,accepted,accepted,true,,
39,0.63428960000000001,0.63428962630079,0.032144399999999962,0.032144357647852333,-4.2352147629209913e-08,2.6300789990330031e-08,accepted,accepted,true,,
40,0.66643399999999997,0.66643398394864228,0.035358800000000024,0.017679396706318785,-0.017679403293681239,-1.6051357687452139e-08,accepted,accepted,true,,
41,0.70179279999999999,0.68411338065496108,0.019447300000000056,0.019447336376950664,3.6376950608013603e-08,-0.017679419345038916,accepted,accepted,true,,
42,0.72124010000000005,0.7035607170319117,0.021392099999999914,0.021392070014645732,-2.9985354182276991e-08,-0.017679382968088353,accepted,accepted,true,,
43,0.74263219999999996,0.72495278704655741,0.023531300000000033,0.023531277016110307,-2.2983889725464168e-08,-0.017679412953442553,accepted,accepted,true,,
44,0.7661635,0.74848406406266776,0.02588440000000003,0.02588440471772134,4.7177213108318128e-09,-0.017679435937332233,accepted,accepted,true,,
45,0.79204790000000003,0.77436846878038912,0.028472799999999965,0.028472845189493477,4.518949351176027e-08,-0.017679431219610908,accepted,accepted,true,,
46,0.82052069999999999,0.80284131396988256,0.031320099999999962,0.031320129708442827,2.9708442865483686e-08,-0.017679386030117428,accepted,accepted,true,,
47,0.85184079999999995,0.83416144367832534,0.034452200000000044,0.034452142679287111,-5.7320712933128792e-08,-0.017679356321674611,accepted,accepted,true,,
48,0.886293,0.86861358635761243,0.037897300000000023,0.037897356947215827,5.6947215804070694e-08,-0.017679413642387565,accepted,accepted,true,,
49,0.92419030000000002,0.90651094330482829,0.041687099999999977,0.041687092641937415,-7.3580625620239815e-09,-0.017679356695171733,accepted,accepted,true,,
50,0.9658774,0.94819803594676566,0.045855599999999996,0.045855801906131158,2.0190613116144451e-07,-0.017679364053234337,accepted,accepted,true,,
51,1.011733,0.9940538378528968,0.050442000000000098,0.050441382096744279,-6.1790325581873029e-07,-0.017679162147103189,accepted,accepted,true,,
52,1.0621750000000001,1.0444952199496411,0.055485000000000007,0.027742760153209357,-0.02774223984679065,-0.017679780050358973,accepted,accepted,true,,
53,1.1176600000000001,1.0722379801028505,0.061033999999999811,0.030517036168530295,-0.030516963831469516,-0.045422019897149557,accepted,accepted,true,,
54,1.1786939999999999,1.1027550162713808,0.033569000000000182,0.033568739785383328,-2.6021461685399316e-07,-0.075938983728619069,accepted,accepted,true,,
55,1.2122630000000001,1.1363237560567643,0.036926000000000014,0.036925613763921665,-3.862360783493668e-07,-0.075939243943235812,accepted,accepted,true,,
56,1.2491890000000001,1.1732493698206858,0.040617999999999821,0.040618175140313836,1.7514031401544283e-07,-0.075939630179314266,accepted,accepted,true,,
57,1.2898069999999999,1.2138675449609997,0.044680000000000053,0.044679992654345226,-7.3456548274619671e-09,-0.075939455039000237,accepted,accepted,true,,
58,1.334487,1.258547537615345,0.049147999999999969,0.049147991919779754,-8.0802202151453173e-09,-0.075939462384654988,accepted,accepted,true,,
59,1.3836349999999999,1.3076955295351247,0.054062999999999972,0.054062791111757734,-2.0888824223824765e-07,-0.075939470464875258,accepted,accepted,true,,
60,1.4376979999999999,1.3617583206468824,0.059468999999999994,0.059469070222933511,7.0222933516717045e-08,-0.075939679353117517,accepted,accepted,true,,
61,1.4971669999999999,1.4212273908698159,0.065416000000000141,0.065415977245226867,-2.2754773273958584e-08,-0.075939609130184049,accepted,accepted,true,,
62,1.5625830000000001,1.4866433681150428,0.071957000000000049,0.035978787484874777,-0.035978212515125271,-0.075939631884957226,accepted,accepted,true,,
63,1.6345400000000001,1.5226221555999175,0.079152999999999807,0.039576666233362257,-0.03957633376663755,-0.11191784440008257,accepted,accepted,true,,
64,1.7136929999999999,1.5621988218332798,0.043535000000000101,0.043534332856698485,-6.671433016164352e-07,-0.15149417816672006,accepted,accepted,true,,
65,1.757228,1.6057331546899782,0.047887999999999931,0.047887766142368338,-2.338576315930041e-07,-0.15149484531002178,accepted,accepted,true,,
66,1.8051159999999999,1.6536209208323465,0.052676000000000167,0.052676542756605174,5.4275660500702205e-07,-0.15149507916765348,accepted,accepted,true,,
67,1.8577920000000001,1.7062974635889516,0.057943999999999996,0.057944197032265693,1.9703226569744992e-07,-0.15149453641104849,accepted,accepted,true,,
68,1.9157360000000001,1.7642416606212172,0.06373899999999999,0.063738616735492262,-3.8326450772785403e-07,-0.15149433937878287,accepted,accepted,true,,
69,1.9794750000000001,1.8279802773567095,0.07011199999999973,0.070112478409041501,4.7840904177087751e-07,-0.15149472264329056,accepted,accepted,true,,
70,2.0495869999999998,1.898092755765751,0.07712399999999997,0.077123726249945651,-2.7375005431928834e-07,-0.15149424423424884,accepted,accepted,true,,
71,2.1267109999999998,1.9752164820156966,0.084836000000000134,0.042418049437470108,-0.042417950562530025,-0.15149451798430325,accepted,accepted,true,,
72,2.2115469999999999,2.0176345314531665,0.046660000000000146,0.046659854381217121,-1.4561878302482567e-07,-0.19391246854683342,accepted,accepted,true,,
73,2.2582070000000001,2.0642943858343838,0.051325999999999983,0.051325839819338838,-1.6018066114481533e-07,-0.19391261416561623,accepted,accepted,true,,
74,2.3095330000000001,2.1156202256537227,0.056458000000000119,0.056458423801272729,4.238012726101581e-07,-0.19391277434627741,accepted,accepted,true,,
75,2.3659910000000002,2.1720786494549955,0.062104999999999855,0.062104266181400004,-7.3381859985038878e-07,-0.19391235054500466,accepted,accepted,true,,
76,2.428096,2.2341829156363957,0.068313999999999986,0.068314692799540014,6.9279954002798849e-07,-0.19391308436360433,accepted,accepted,true,,
77,2.49641,2.3024976084359356,0.037573000000000079,0.075146162079494025,0.037573162079493946,-0.19391239156406437,accepted,accepted,true,,
78,2.5339830000000001,2.3776437705154296,0.041331000000000007,0.041330389143721717,-6.1085627828944e-07,-0.15633922948457046,accepted,accepted,true,,
79,2.5753140000000001,2.4189741596591512,0.045462999999999809,0.045463428058093891,4.2805809408186235e-07,-0.15633984034084891,accepted,accepted,true,,
80,2.6207769999999999,2.4644375877172449,0.050009999999999888,0.050009770863903284,-2.2913609660363266e-07,-0.15633941228275505,accepted,accepted,true,,
81,2.6707869999999998,2.514447358581148,0.055011000000000365,0.05501074795029362,-2.5204970674486127e-07,-0.15633964141885182,accepted,accepted,true,,
82,2.7257980000000002,2.5694581065314415,0.030255999999999617,0.060511822745322991,0.030255822745323374,-0.1563398934685587,accepted,accepted,true,,
83,2.7560539999999998,2.6299699292767644,0.033281000000000116,0.033281502509927646,5.0250992753020363e-07,-0.12608407072323535,accepted,accepted,true,,
84,2.7893349999999999,2.663251431786692,0.036610000000000031,0.036609652760920416,-3.4723907961498046e-07,-0.12608356821330791,accepted,accepted,true,,
85,2.8259449999999999,2.6998610845476123,0.040270000000000028,0.040270618037012464,6.1803701243562381e-07,-0.12608391545238762,accepted,accepted,true,,
86,2.866215,2.7401317025846246,0.044297999999999949,0.044297679840713713,-3.2015928623507772e-07,-0.12608329741537538,accepted,accepted,true,,
87,2.9105129999999999,2.7844293824253383,0.024364000000000274,0.048727447824785088,0.024363447824784813,-0.12608361757466158,accepted,accepted,true,,
88,2.9348770000000002,2.8331568302501235,0.026799999999999713,0.053600192607263598,0.026800192607263885,-0.10172016974987663,accepted,accepted,true,,
89,2.9616769999999999,2.8867570228573873,0.029479999999999951,0.029480105933994982,1.0593399503086576e-07,-0.074919977142612559,accepted,accepted,true,,
90,2.9911569999999998,2.9162371287913822,0.032428000000000345,0.032428116527394482,1.1652739413670066e-07,-0.07491987120861765,accepted,accepted,true,,
91,3.0235850000000002,2.9486652453187765,0.035670999999999786,0.035670928180133933,-7.1819865853084419e-08,-0.074919754681223694,accepted,accepted,true,,
92,3.059256,2.9843361734989102,0.019619000000000053,0.039238020998147327,0.019619020998147274,-0.074919826501089748,accepted,accepted,true,,
93,3.078875,3.0235741944970576,0.02158099999999985,0.021580911548981032,-8.8451018818297422e-08,-0.055300805502942474,accepted,accepted,true,,
94,3.1004559999999999,3.0451551060460385,0.023738999999999955,0.023739002703879138,2.7038791830524822e-09,-0.055300893953961427,accepted,accepted,true,,
95,3.1241949999999998,3.0688941087499177,0.026113000000000053,0.026112902974267053,-9.7025733000050129e-08,-0.055300891250082085,accepted,accepted,true,,
96,3.1503079999999999,3.095007011724185,0.028723999999999972,0.02872419327169376,1.9327169378802189e-07,-0.055300988275814866,accepted,accepted,true,,
97,3.1790319999999999,3.1237312049958788,0.031597000000000097,0.031596612598863136,-3.8740113696145162e-07,-0.055300795004121106,accepted,accepted,true,,
98,3.210629,3.1553278175947419,0.017377999999999894,0.017378136929374725,1.3692937483184009e-07,-0.055301182405258054,accepted,accepted,true,,
99,3.2280069999999998,3.1727059545241167,0.019116000000000355,0.019115950622312198,-4.9377688157020705e-08,-0.055301045475883104,accepted,accepted,true,,
100,3.2471230000000002,3.1918219051464289,0.021026999999999685,0.02102754568454342,5.4568454373529751e-07,-0.055301094853571264,accepted,accepted,true,,
101,3.2681499999999999,3.2128494508309724,0.023131000000000235,0.023130300252997765,-6.9974700247013577e-07,-0.055300549169027491,accepted,accepted,true,,
102,3.2912810000000001,3.2359797510839701,0.02544299999999966,0.025443330278297541,3.3027829788104257e-07,-0.055301248916030055,accepted,accepted,true,,
103,3.3167239999999998,3.2614230813622678,0.027988000000000124,0.013993831653063648,-0.013994168346936476,-0.055300918637732011,accepted,accepted,true,,
104,3.3447119999999999,3.2754169130153312,0.01539299999999999,0.015393214818370015,2.1481837002464144e-07,-0.069295086984668686,accepted,accepted,true,,
105,3.3601049999999999,3.2908101278337014,0.016932000000000169,0.016932536300207017,5.3630020684786173e-07,-0.069294872166298482,accepted,accepted,true,,
106,3.3770370000000001,3.3077426641339085,0.018625999999999809,0.018625789930227721,-2.1006977208790079e-07,-0.069294335866091572,accepted,accepted,true,,
107,3.3956629999999999,3.3263684540641361,0.020488999999999979,0.020488368923250497,-6.3107674948270631e-07,-0.069294545935863816,accepted,accepted,true,,
108,3.4161519999999999,3.3468568229873865,0.022537000000000251,0.022537205815575549,2.058155752979185e-07,-0.06929517701261334,accepted,accepted,true,,
109,3.4386890000000001,3.369394028802962,0.024791000000000007,0.012395463198566553,-0.012395536801433455,-0.069294971197038091,accepted,accepted,true,,
110,3.4634800000000001,3.3817894920015288,0.027269999999999683,0.013635009518423209,-0.013634990481576474,-0.081690507998471329,accepted,accepted,true,,
111,3.4907499999999998,3.395424501519952,0.014998000000000289,0.014998510470265531,5.1047026524211891e-07,-0.095325498480047788,accepted,accepted,true,,
112,3.5057480000000001,3.4104230119902175,0.016499000000000041,0.016498361517292084,-6.3848270795766049e-07,-0.095324988009782619,accepted,accepted,true,,
113,3.5222470000000001,3.4269213735075095,0.018148000000000053,0.018148197669021295,1.9766902124157548e-07,-0.095325626492490656,accepted,accepted,true,,
114,3.5403950000000002,3.4450695711765307,0.019962999999999731,0.019963017435923425,1.7435923694436584e-08,-0.095325428823469505,accepted,accepted,true,,
115,3.5603579999999999,3.4650325886124542,0.021959000000000284,0.021959319179515768,3.1917951548443568e-07,-0.095325411387545689,accepted,accepted,true,,
116,3.5823170000000002,3.4869919077919702,0.024154999999999927,0.012077625548733673,-0.012077374451266254,-0.095325092208029982,accepted,accepted,true,,
117,3.6064720000000001,3.499069533340704,0.026570999999999678,0.013285388103607042,-0.013285611896392636,-0.10740246665929609,accepted,accepted,true,,
118,3.6330429999999998,3.5123549214443113,0.029228000000000254,0.014613926913967746,-0.014614073086032508,-0.12068807855568853,accepted,accepted,true,,
119,3.6622710000000001,3.5269688483582788,0.032150999999999819,0.016075319605364524,-0.016075680394635295,-0.13530215164172121,accepted,accepted,true,,
120,3.6944219999999999,3.5430441679636435,0.017682000000000198,0.017682851565900978,8.5156590078072636e-07,-0.15137783203635635,accepted,accepted,true,,
121,3.7121040000000001,3.5607270195295446,0.019451999999999803,0.019451136722491078,-8.6327750872458586e-07,-0.15137698047045545,accepted,accepted,true,,
122,3.7315559999999999,3.5801781562520358,0.021396000000000193,0.021396250394740187,2.5039473999441397e-07,-0.15137784374796404,accepted,accepted,true,,
123,3.7529520000000001,3.6015744066467761,0.023536000000000001,0.023535875434214207,-1.2456578579386757e-07,-0.15137759335322398,accepted,accepted,true,,
124,3.7764880000000001,3.6251102820809904,0.025888999999999829,0.012944731488817815,-0.012944268511182013,-0.15137771791900967,accepted,accepted,true,,
125,3.8023769999999999,3.6380550135698084,0.028478999999999921,0.014239204637699598,-0.014239795362300323,-0.16432198643019147,accepted,accepted,true,,
126,3.8308559999999998,3.652294218207508,0.031325999999999965,0.015663125101469558,-0.015662874898530407,-0.17856178179249182,accepted,accepted,true,,
127,3.8621819999999998,3.6679573433089776,0.034459000000000017,0.017229437611616515,-0.017229562388383503,-0.19422465669102218,accepted,accepted,true,,
128,3.8966409999999998,3.6851867809205943,0.03790400000000016,0.018952381372778167,-0.018951618627221993,-0.21145421907940554,accepted,accepted,true,,
129,3.934545,3.7041391622933726,0.041695999999999955,0.020847619510055985,-0.020848380489943971,-0.23040583770662737,accepted,accepted,true,,
130,3.9762409999999999,3.7249867818034286,0.045863999999999905,0.022932381461061586,-0.022931618538938318,-0.25125421819657134,accepted,accepted,true,,
131,4.0221049999999998,3.7479191632644904,0.050451999999999941,0.025225619607167748,-0.025226380392832193,-0.27418583673550945,accepted,accepted,true,,
132,4.0725569999999998,3.773144782871658,0.055496000000000656,0.027748181567884524,-0.027747818432116132,-0.29941221712834176,accepted,accepted,true,,
133,4.1280530000000004,3.8008929644395426,0.061045999999999268,0.01526149986233649,-0.045784500137662776,-0.32716003556045781,accepted,accepted,true,,
134,4.1890989999999997,3.8161544643018792,0.03357499999999991,0.016787649848570139,-0.016787350151429771,-0.37294453569812047,accepted,accepted,true,,
135,4.2226739999999996,3.8329421141504492,0.036933000000000327,0.018466414833427154,-0.018466585166573173,-0.38973188584955043,accepted,accepted,true,,
136,4.2596069999999999,3.8514085289838764,0.040626000000000495,0.02031305631676987,-0.020312943683230625,-0.4081984710161235,accepted,accepted,true,,
137,4.3002330000000004,3.8717215853006461,0.044688999999999979,0.022344361948446859,-0.022344638051553119,-0.42851141469935428,accepted,accepted,true,,
138,4.3449220000000004,3.8940659472490928,0.049157999999999369,0.024578798143291548,-0.024579201856707821,-0.45085605275090757,accepted,accepted,true,,
139,4.3940799999999998,3.9186447453923843,0.054072999999999816,0.027036677957620703,-0.027036322042379112,-0.47543525460761549,accepted,accepted,true,,
140,4.4481529999999996,3.9456814233500048,0.059481000000000783,0.029740345753382778,-0.029740654246618006,-0.50247157664999476,accepted,accepted,true,,
141,4.5076340000000004,3.9754217691033875,0.06542799999999982,0.032714380328721059,-0.032713619671278761,-0.53221223089661285,accepted,accepted,true,,
142,4.5730620000000002,4.0081361494321088,0.071971999999999703,0.017992909180796584,-0.053979090819203115,-0.56492585056789135,accepted,accepted,true,,
143,4.6450339999999999,4.0261290586129057,0.079169000000000267,0.019792200098876243,-0.059376799901124024,-0.61890494138709418,accepted,accepted,true,,
144,4.7242030000000002,4.0459212587117817,0.087086000000000219,0.021771420108763869,-0.065314579891236346,-0.6782817412882185,accepted,accepted,true,,
145,4.8112890000000004,4.0676926788205456,0.047896999999999856,0.023948562119640259,-0.023948437880359597,-0.74359632117945473,accepted,accepted,true,,
146,4.8591860000000002,4.0916412409401861,0.052686999999999706,0.026343418331604286,-0.02634358166839542,-0.76754475905981412,accepted,accepted,true,,
147,4.9118729999999999,4.1179846592717908,0.057954999999999757,0.028977760164764717,-0.028977239835235039,-0.79388834072820913,accepted,accepted,true,,
148,4.9698279999999997,4.1469624194365551,0.03017200000000031,0.031875536181241192,0.001703536181240882,-0.82286558056344461,accepted,accepted,true,,
149,5,4.1788379556177961,,0.035063089799365316,,-0.82116204438220386,missing,accepted,true,,
150,5,4.2139010454171615,,0.019284699389650925,,-0.78609895458283852,missing,accepted,true,,
151,5,4.2331857448068124,,0.02121316932861602,,-0.76681425519318758,missing,accepted,true,,
152,5,4.2543989141354288,,0.023334486261477626,,-0.74560108586457119,missing,accepted,true,,
153,5,4.2777334003969063,,0.02566793488762539,,-0.7222665996030937,missing,accepted,true,,
154,5,4.3034013352845317,,0.028234728376387932,,-0.69659866471546827,missing,accepted,true,,
155,5,4.3316360636609197,,0.031058201214026727,,-0.66836393633908031,missing,accepted,true,,
156,5,4.3626942648749463,,0.034164021335429402,,-0.63730573512505373,missing,accepted,true,,
157,5,4.3968582862103753,,0.037580423468972349,,-0.60314171378962467,missing,accepted,true,,
158,5,4.4344387096793474,,0.020669232907934793,,-0.56556129032065261,missing,accepted,true,,
159,5,4.4551079425872819,,0.022736156198728274,,-0.54489205741271807,missing,accepted,true,,
160,5,4.4778440987860106,,0.025009771818601104,,-0.52215590121398936,missing,accepted,true,,
161,5,4.5028538706046115,,0.027510749000461215,,-0.49714612939538849,missing,accepted,true,,
162,5,4.5303646196050726,,0.030261823900507339,,-0.46963538039492736,missing,accepted,true,,
163,5,4.5606264435055799,,0.033288006290558073,,-0.43937355649442011,missing,accepted,true,,
164,5,4.5939144497961379,,0.03661680691961388,,-0.40608555020386206,missing,accepted,true,,
165,5,4.6305312567157522,,0.020139243805787636,,-0.36946874328424784,missing,accepted,true,,
166,5,4.6506705005215396,,0.022153168186366402,,-0.34932949947846037,missing,accepted,true,,
167,5,4.6728236687079061,,0.024368485005003045,,-0.32717633129209389,missing,accepted,true,,
168,5,4.6971921537129093,,0.026805333505503352,,-0.30280784628709068,missing,accepted,true,,
169,5,4.7239974872184129,,0.029485866856053689,,-0.27600251278158705,missing,accepted,true,,
170,5,4.7534833540744668,,0.03243445354165906,,-0.24651664592553324,missing,accepted,true,,
171,5,4.7859178076161255,,0.017838949447912485,,-0.21408219238387449,missing,accepted,true,,
172,5,4.803756757064038,,0.019622844392703735,,-0.19624324293596196,missing,accepted,true,,
173,5,4.8233796014567414,,0.02158512883197411,,-0.17662039854325862,missing,accepted,true,,
174,5,4.8449647302887158,,0.023743641715171522,,-0.15503526971128423,missing,accepted,true,,
175,5,4.8687083720038871,,0.026118005886688677,,-0.13129162799611294,missing,accepted,true,,
176,5,4.8948263778905758,,0.028729806475357549,,-0.10517362210942416,missing,accepted,true,,
177,5,4.9235561843659337,,0.031602787122893307,,-0.076443815634066326,missing,accepted,true,,
178,5,4.9551589714888271,,0.017381532917591321,,-0.044841028511172887,missing,accepted,true,,
179,5,4.9725405044064184,,0.019119686209350454,,-0.027459495593581629,missing,accepted,true,,
180,5,4.9916601906157689,,0.0083398093842310672,,-0.0083398093842310672,missing,accepted,true,,
