t_start,h_try,expression,kept_poly_range_width,dropped_trunc_width,polynomial_range_times_remainder_width,remainder_times_remainder_width,cutoff_uncertainty_width,total_remainder_width,finite
2.0156259248619017,0.032509877392728016,x*x,5.5953677108400681,4.5844611424873015e-05,0.00085253084598316308,2.0000000000000007e-08,0,0.00089839545740803644,True
2.0156259248619017,0.032509877392728016,(x*x)*y,19.780833492120085,0.0045533453385413385,0.0032063864507300452,8.986538922884256e-08,0,0.0077598216546606149,True
2.0156259248619017,0.032509877392728016,y - x - x*x*y,14.71407167990596,,,,0,0.0081598216546606168,True
2.0156259248619017,0.016254938696364008,x*x,5.2917922067801593,3.7606783869371776e-06,0.00084243311329841781,2.0000000000000007e-08,0,0.00084621379168535536,True
2.0156259248619017,0.016254938696364008,(x*x)*y,18.125107736250584,0.00054334307288868787,0.0029431413986081081,8.4622851734549465e-08,0,0.0034865690943485313,True
2.0156259248619017,0.016254938696364008,y - x - x*x*y,13.338118781128518,,,,0,0.0038865690943485323,True
2.0562632716028117,0.036573612066819021,x*x,6.0191425970322312,0.00010993679426563959,0.00086748138235250222,2.0000000000000007e-08,0,0.00097743817661814238,True
2.0562632716028117,0.036573612066819021,(x*x)*y,23.44389223564783,0.010705691498266156,0.0037348870007299392,9.7795490474142826e-08,0,0.014440676294486572,True
2.0562632716028117,0.036573612066819021,y - x - x*x*y,17.670334208996781,,,,0,0.014840676294486576,True
2.0562632716028117,0.01828680603340951,x*x,5.6278458992793388,8.8574363571502456e-06,0.00085421558649566396,2.0000000000000007e-08,0,0.00086309302285281447,True
2.0562632716028117,0.01828680603340951,(x*x)*y,21.113877879564232,0.0012431125064513188,0.0032344433956937434,8.6313977268662953e-08,0,0.0044776422161223323,True
2.0562632716028117,0.01828680603340951,y - x - x*x*y,15.712482306418392,,,,0,0.0048776422161223333,True
2.0745500776362213,0.027430209050114264,x*x,5.9840441504351887,4.6524363803192253e-05,0.00086709171735289091,2.0000000000000007e-08,0,0.00091363608115608349,True
2.0745500776362213,0.027430209050114264,(x*x)*y,23.865890977645332,0.0053181872887797582,0.0035945856809278705,9.137465483515037e-08,0,0.0089128643443624669,True
2.0745500776362213,0.027430209050114264,y - x - x*x*y,17.967973260133004,,,,0,0.0093128643443624679,True
2.0745500776362213,0.013715104525057132,x*x,5.6812947254188133,4.0557557041211948e-06,0.00085679912772417758,2.0000000000000007e-08,0,0.00086087488342829913,True
2.0745500776362213,0.013715104525057132,(x*x)*y,22.044118925824311,0.00069480424271671731,0.0033071436161390432,8.6090443563414478e-08,0,0.0040020339492993261,True
2.0745500776362213,0.013715104525057132,y - x - x*x*y,16.434251269874093,,,,0,0.0044020339492993272,True
2.108837838948864,0.03085898518137855,x*x,6.4213795408500518,0.00010795899243577936,0.0008846546492420976,2.0000000000000007e-08,0,0.00099263364167787743,True
2.108837838948864,0.03085898518137855,(x*x)*y,28.140190561299946,0.012089100921286573,0.0041847493675561277,9.9302228596725068e-08,0,0.016273949591071306,True
2.108837838948864,0.03085898518137855,y - x - x*x*y,21.475293774739104,,,,0,0.016673949591071307,True
2.108837838948864,0.015429492590689275,x*x,6.0329558767690337,9.2397877484783585e-06,0.00087129251298805022,2.0000000000000007e-08,0,0.00088055230073652883,True
2.108837838948864,0.015429492590689275,(x*x)*y,25.5860549979942,0.0015343963390867309,0.0036434105480196732,8.8063376026878473e-08,0,0.0051778949504824321,True
2.108837838948864,0.015429492590689275,y - x - x*x*y,19.302598716191781,,,,0,0.0055778949504824331,True
2.1242673315395533,0.02314423888603391,x*x,6.3944775976208632,4.6381493898842406e-05,0.00088537305954051635,2.0000000000000007e-08,0,0.00093177455343935903,True
2.1242673315395533,0.02314423888603391,(x*x)*y,28.736095777020243,0.0061746222824394922,0.0040427843784430701,9.3215370702727699e-08,0,0.010217499876253269,True
2.1242673315395533,0.02314423888603391,y - x - x*x*y,21.923944127700366,,,,0,0.01061749987625327,True
2.1242673315395533,0.011572119443016955,x*x,6.093717329899742,4.2634609405999857e-06,0.00087501094545063484,2.0000000000000007e-08,0,0.00087929440639123509,True
2.1242673315395533,0.011572119443016955,(x*x)*y,26.730663270741832,0.00087601910039639618,0.0037313587005762977,8.793343175301896e-08,0,0.0046074657344044494,True
2.1242673315395533,0.011572119443016955,y - x - x*x*y,20.214363680234548,,,,0,0.0050074657344044505,True
2.1531976301470959,0.026037268746788148,x*x,6.841258845684667,0.00010391989163726537,0.00090490861645393667,2.0000000000000007e-08,0,0.0010088485080912027,True
2.1531976301470959,0.026037268746788148,(x*x)*y,33.671660570437844,0.013518928124900265,0.0046892526856014182,1.0098557695344732e-07,0,0.018208281796078644,True
2.1531976301470959,0.026037268746788148,y - x - x*x*y,26.0390901464656,,,,0,0.018608281796078648,True
2.1531976301470959,0.013018634373394074,x*x,6.4575563467173334,9.3797368208146088e-06,0.00089161062847776737,2.0000000000000007e-08,0,0.00090101036529858234,True
2.1531976301470959,0.013018634373394074,(x*x)*y,30.877728234837026,0.0018613875339535963,0.0041122075464299765,9.0111357403159271e-08,0,0.0059736851917409775,True
2.1531976301470959,0.013018634373394074,y - x - x*x*y,23.634651409192681,,,,0,0.0063736851917409786,True
2.1662162645204899,0.019527951560091111,x*x,6.821483645710571,4.5131881267345257e-05,0.00090651599162410888,2.0000000000000007e-08,0,0.00095166787289145444,True
2.1662162645204899,0.019527951560091111,(x*x)*y,34.451963231207394,0.0070650112161491736,0.0045477368355100085,9.5221561934998483e-08,0,0.011612843273221121,True
2.1662162645204899,0.019527951560091111,y - x - x*x*y,26.652385014380773,,,,0,0.012012843273221122,True
2.1662162645204899,0.0097639757800455553,x*x,6.5243929373470779,4.3434804212806331e-06,0.00089621669953056328,2.0000000000000007e-08,0,0.00090058017995184422,True
2.1662162645204899,0.0097639757800455553,(x*x)*y,32.253137898280649,0.0010791316674297648,0.0042150328533965952,9.0062570894793753e-08,0,0.0052942545833972576,True
2.1662162645204899,0.0097639757800455553,y - x - x*x*y,24.755953343540977,,,,0,0.0056942545833972586,True
2.1906262039706039,0.021968945505102498,x*x,7.2727906568719334,9.7536847590388632e-05,0.00092738426993536937,2.0000000000000007e-08,0,0.0010249411175257586,True
2.1906262039706039,0.021968945505102498,(x*x)*y,40.073226016404654,0.014861466376046817,0.0052408185724578428,1.0262975518276852e-07,0,0.020102387578259849,True
2.1906262039706039,0.021968945505102498,y - x - x*x*y,31.409208450485178,,,,0,0.020502387578259854,True
2.1906262039706039,0.010984472752551249,x*x,6.8962265449092159,9.2227992718115902e-06,0.00091431350898727489,2.0000000000000007e-08,0,0.00092355630825908684,True
2.1906262039706039,0.010984472752551249,(x*x)*y,37.036163100338925,0.0022023259678452521,0.0046380067647154568,9.2366861552722808e-08,0,0.0068404250994222636,True
2.1906262039706039,0.010984472752551249,y - x - x*x*y,28.767433074810249,,,,0,0.0072404250994222647,True
2.2016106767231554,0.016476709128826872,x*x,7.2590835595662746,4.2671824404787314e-05,0.00092967025531815687,2.0000000000000007e-08,0,0.00097236207972294455,True
2.2016106767231554,0.016476709128826872,(x*x)*y,41.041973315417984,0.0079114419877778907,0.0051036916670085071,9.7298603028170376e-08,0,0.013015230953389429,True
2.2016106767231554,0.016476709128826872,y - x - x*x*y,32.194917624690163,,,,0,0.01341523095338943,True
2.2016106767231554,0.0082383545644134359,x*x,6.9677242222576501,4.2721778968291222e-06,0.00091956480963205833,2.0000000000000007e-08,0,0.00092385698752888779,True
2.2016106767231554,0.0082383545644134359,(x*x)*y,38.650045085129811,0.0012899873594211491,0.0047549142583950344,9.2390362378836808e-08,0,0.0060449940081785643,True
2.2016106767231554,0.0082383545644134359,y - x - x*x*y,30.109888722330549,,,,0,0.0064449940081785654,True
2.222206563134189,0.018536297769930231,x*x,7.7094551075135556,8.8944835046795052e-05,0.00095126137927124994,2.0000000000000007e-08,0,0.0010402262143180455,True
2.222206563134189,0.018536297769930231,(x*x)*y,47.339986375969666,0.015968765426345222,0.0058301681382092133,1.0417008385118796e-07,0,0.021799037734638291,True
2.222206563134189,0.018536297769930231,y - x - x*x*y,37.596189914744677,,,,0,0.022199037734638296,True
2.222206563134189,0.0092681488849651154,x*x,7.3428038961391557,8.7576585029051678e-06,0.00093857344045570777,2.0000000000000007e-08,0,0.00094735109895861325,True
2.222206563134189,0.0092681488849651154,(x*x)*y,44.070898145798616,0.0025272491233520088,0.0052153645940302704,9.4746152154806113e-08,0,0.0077427084635344366,True
2.222206563134189,0.0092681488849651154,y - x - x*x*y,34.724989428202477,,,,0,0.0081427084635344385,True
2.2314747120191543,0.013902223327447673,x*x,7.7007743758156666,3.908869718417245e-05,0.0009540349334609087,2.0000000000000007e-08,0,0.00099314363064508166,True
2.2314747120191543,0.013902223327447673,(x*x)*y,48.492670873440581,0.0086256609281378516,0.0057039397222803968,9.9376733142210573e-08,0,0.014329700027151391,True
2.2314747120191543,0.013902223327447673,y - x - x*x*y,38.732326077907942,,,,0,0.014729700027151396,True
2.2314747120191543,0.0069511116637238366,x*x,7.4174254121359509,4.0479882181907674e-06,0.00094424315896381216,2.0000000000000007e-08,0,0.00094831114718200331,True
2.2314747120191543,0.0069511116637238366,(x*x)*y,45.919466683698019,0.0014894496941504527,0.0053456905550965557,9.4835513842671624e-08,0,0.0068352350847608523,True
2.2314747120191543,0.0069511116637238366,y - x - x*x*y,36.467799208680482,,,,0,0.0072352350847608533,True
2.248852491178464,0.015640001243378634,x*x,8.1446072359829333,7.8633484796597822e-05,0.00097580692414686566,2.0000000000000007e-08,0,0.0010544604089434641,True
2.248852491178464,0.015640001243378634,(x*x)*y,55.420256085377424,0.016703057916011028,0.0064530499601455193,1.0558777530421987e-07,0,0.023156213463931857,True
2.248852491178464,0.015640001243378634,y - x - x*x*y,45.26451491997738,,,,0,0.023556213463931861,True
2.248852491178464,0.0078200006216893169,x*x,7.7907139452551641,8.0182423344866299e-06,0.00096362875946470414,2.0000000000000007e-08,0,0.00097166700179919106,True
2.248852491178464,0.0078200006216893169,(x*x)*y,51.945575888079269,0.0028024933909282014,0.0058390004633010447,9.7176731945971518e-08,0,0.008641591030961196,True
2.248852491178464,0.0078200006216893169,y - x - x*x*y,42.186012371827701,,,,0,0.009041591030961197,True
2.2566724918001535,0.011730000932533974,x*x,8.1399060336279039,3.4634414284097317e-05,0.00097888388619050775,2.0000000000000007e-08,0,0.0010135383004746057,True
2.2566724918001535,0.011730000932533974,(x*x)*y,56.742720531949779,0.0091244167972241389,0.006340899754855904,1.0141069158111266e-07,0,0.015465417962771628,True
2.2566724918001535,0.011730000932533974,y - x - x*x*y,46.648443475787218,,,,0,0.015865417962771633,True
2.2566724918001535,0.0058650004662669872,x*x,7.8668639902558644,3.6915274766368729e-06,0.00096950891432745945,2.0000000000000007e-08,0,0.00097322044180409668,True
2.2566724918001535,0.0058650004662669872,(x*x)*y,54.012049710058086,0.0016565059036163586,0.0059799163483769766,9.7325916380368106e-08,0,0.0076365195779097171,True
2.2566724918001535,0.0058650004662669872,y - x - x*x*y,44.224355303311391,,,,0,0.0080365195779097207,True
2.2713349929658211,0.013196251049100723,x*x,8.5715308630368465,6.7323945768031117e-05,0.0010003389551959867,2.0000000000000007e-08,0,0.0010676829009640186,True
2.2713349929658211,0.013196251049100723,(x*x)*y,64.213958185770565,0.016963271933106292,0.0070926099049568748,1.0689300700935384e-07,0,0.02405598873107018,True
2.2713349929658211,0.013196251049100723,y - x - x*x*y,53.752521730948651,,,,0,0.024455988731070185,True
2.2713349929658211,0.0065981255245503613,x*x,8.233269159519482,7.0751580835771142e-06,0.00098879406602557117,2.0000000000000007e-08,0,0.00099588922410914901,True
2.2713349929658211,0.0065981255245503613,(x*x)*y,60.574697805527947,0.0029970764611324968,0.0064958098090451676,9.9597447661207347e-08,0,0.0094929858676253299,True
2.2713349929658211,0.0065981255245503613,y - x - x*x*y,50.502366258640443,,,,0,0.0098929858676253309,True
2.2779331184903713,0.009897188286825542,x*x,8.56987605334146,2.9666330641372023e-05,0.0010035725576947026,2.0000000000000007e-08,0,0.0010332588883360755,True
2.2779331184903713,0.009897188286825542,(x*x)*y,65.682592483210342,0.0093459409925840901,0.006999526649649996,1.0337406613042306e-07,0,0.016345571016300221,True
2.2779331184903713,0.009897188286825542,y - x - x*x*y,55.290751404689054,,,,0,0.016745571016300226,True
2.2779331184903713,0.004948594143412771,x*x,8.3094008314925905,3.2403442278215599e-06,0.00099470758823429206,2.0000000000000007e-08,0,0.00099796793246211446,True
2.2779331184903713,0.004948594143412771,(x*x)*y,62.829340975680701,0.0017723968104905927,0.0066449730088612227,9.9800000310960837e-08,0,0.008417469619352129,True
2.2779331184903713,0.004948594143412771,y - x - x*x*y,52.738198570086325,,,,0,0.00881746961935213,True
2.2903046038489032,0.011134336822678734,x*x,8.9841930453365908,5.5814177089476328e-05,0.0010243090555706609,2.0000000000000007e-08,0,0.0010801432326601379,True
2.2903046038489032,0.011134336822678734,(x*x)*y,73.577212724617411,0.016705231423730309,0.007738704997083303,1.0811658403815939e-07,0,0.024444044537397652,True
2.2903046038489032,0.011134336822678734,y - x - x*x*y,62.846119220063201,,,,0,0.024844044537397657,True
2.2903046038489032,0.005567168411339367,x*x,8.6641513885969328,6.0193291878912186e-06,0.001013493774615512,2.0000000000000007e-08,0,0.001019533103803404,True
2.2903046038489032,0.005567168411339367,(x*x)*y,69.82646305493266,0.0030890541869572348,0.0071739103065511243,1.0196014223639074e-07,0,0.010263066453650599,True
2.2903046038489032,0.005567168411339367,y - x - x*x*y,59.473332579030178,,,,0,0.0106630664536506,True
2.2958717722602424,0.008350752617009051,x*x,8.9847798377587029,2.457216362012761e-05,0.0010275790144192965,2.0000000000000007e-08,0,0.0010521711780394247,True
2.2958717722602424,0.008350752617009051,(x*x)*y,75.160449470995403,0.0092623695142803712,0.0076688092920063552,1.052554796098462e-07,0,0.01693128406176634,True
2.2958717722602424,0.008350752617009051,y - x - x*x*y,64.504999739543408,,,,0,0.017331284061766344,True
2.2958717722602424,0.0041753763085045255,x*x,8.7388459269558894,2.7402083357116816e-06,0.0010192943393943672,2.0000000000000007e-08,0,0.0010220545477300795,True
2.2958717722602424,0.0041753763085045255,(x*x)*y,72.228314202032308,0.0018244942821956068,0.0073288741620851075,1.022079693049485e-07,0,0.0091534706522500234,True
2.2958717722602424,0.0041753763085045255,y - x - x*x*y,61.864432285562806,,,,0,0.0095534706522500245,True
2.3063102130315034,0.0093945966941351815,x*x,9.3774401194559331,4.4832185689296161e-05,0.0010472831498017602,2.0000000000000007e-08,0,0.0010921353354910572,True
2.3063102130315034,0.0093945966941351815,(x*x)*y,83.332632739640829,0.01594908779565889,0.0083826216497980728,1.0929251522685087e-07,0,0.024331818737972195,True
2.3063102130315034,0.0093945966941351815,y - x - x*x*y,72.366360575442243,,,,0,0.0247318187379722,True
2.3063102130315034,0.0046972983470675907,x*x,9.0777344206690085,4.9432143566746951e-06,0.001037264000193542,2.0000000000000007e-08,0,0.0010422272145502174,True
2.3063102130315034,0.0046972983470675907,(x*x)*y,79.531591530136993,0.0030698254445985632,0.0078609583369855587,1.0422791539982608e-07,0,0.010930888009499528,True
2.3063102130315034,0.0046972983470675907,y - x - x*x*y,68.928261223036955,,,,0,0.011330888009499529,True
2.3180534588991724,0.01056892128090208,x*x,9.8704197129080491,8.5098960375361096e-05,0.0010717268474184551,2.0000000000000007e-08,0,0.001156845807793817,True
